epoch_batches,actual_multiplier,train_tokens,val_tokens,val_distinct_contexts,seen_val_mass,novel_context_mass,Q_gt_seen,Q_gt_all,empirical_unseen_cont_seen,empirical_unseen_pair_all,distinct_pairs_for_val_contexts,train_tokens_in_val_contexts,elapsed_seconds
42,0.124629080118694,6193152,589824,450786,0.472849527994792,0.527150472005208,0.306833211985758,0.833983683990966,0.296398586697049,0.823549058702257,841544,1373815,1.26308456
56,0.166172106824926,8257536,589824,450786,0.504104614257812,0.495895385742188,0.317975256223176,0.813870641965364,0.307927449544271,0.803822835286458,1071468,1833974,1.773096503
84,0.249258160237389,12386304,589824,450786,0.547307332356771,0.452692667643229,0.33097035729248,0.783663024935709,0.321458604600694,0.774151272243924,1493451,2750182,2.731295051
112,0.332344213649852,16515072,589824,450786,0.577016194661458,0.422983805338542,0.337941509168824,0.760925314507366,0.329188028971354,0.752171834309896,1883977,3667400,3.69598528
168,0.498516320474777,24772608,589824,450786,0.617936876085069,0.382063123914931,0.345316253704724,0.727379377619654,0.337812635633681,0.719875759548611,2599004,5496456,5.554683023
224,0.664688427299703,33030144,589824,450786,0.646116468641493,0.353883531358507,0.348638431336797,0.702521962695304,0.340961032443576,0.694844563802083,3251269,7322242,7.444992165
253,0.750741839762611,37306368,589824,450786,0.657577514648438,0.342422485351562,0.349326836775647,0.69174932212721,0.341890123155382,0.684312608506944,3571716,8266317,8.150920352
337,1,49692672,589824,450786,0.684533013237847,0.315466986762153,0.349556481365045,0.665023468127198,0.342671712239583,0.658138699001736,4447752,11012069,9.236805362
421,1.24925816023739,62078976,589824,450786,0.704159206814236,0.295840793185764,0.348915732877224,0.644756526062988,0.342298719618056,0.638139512803819,5257536,13752009,10.378824139
506,1.50148367952522,74612736,589824,450786,0.720133463541667,0.279866536458333,0.347663437426593,0.627529973884926,0.341359456380208,0.621225992838542,6029518,16535071,11.521638743
590,1.75074183976261,86999040,589824,450786,0.732967800564236,0.267032199435764,0.345994843486644,0.613027042922408,0.339942084418403,0.606974283854167,6750810,19279724,14.134945414
674,2,99385344,589824,450786,0.74361334906684,0.25638665093316,0.34425552371041,0.60064217464357,0.338200887044271,0.594587537977431,7438685,22022248,16.341228888
842,2.49851632047478,124157952,589824,450786,0.761244032118056,0.238755967881944,0.340631097778202,0.579387065660146,0.334611680772569,0.573367648654514,8731043,27525079,19.75328388
1011,3,149078016,589824,450786,0.775338066948785,0.224661933051215,0.336649677427143,0.561311610478359,0.330449422200521,0.555111355251736,9943815,33055469,22.179021062
1348,4,198770688,589824,450786,0.796013726128472,0.203986273871528,0.330043795629675,0.534030069501203,0.324554443359375,0.528540717230903,12157023,44076100,27.138917767
2022,6,298156032,589824,450786,0.823871188693576,0.176128811306424,0.319115311649363,0.495244122955786,0.313539293077257,0.489668104383681,16030952,66125275,43.235375521
2696,8,397541376,589824,450786,0.841676500108507,0.158323499891493,0.309294276186726,0.467617776078219,0.30452643500434,0.462849934895833,19403645,88159010,67.645927134
3370,10,496926720,589824,450786,0.854239569769965,0.145760430230035,0.30070354183888,0.446463972068915,0.297027587890625,0.44278801812066,22431510,110200455,92.429252055
5055,15,745390080,589824,450786,0.875505235460069,0.124494764539931,0.284092796579892,0.408587561119822,0.281578911675347,0.406073676215278,28997471,165318031,149.348088707
6740,20,993853440,589824,450786,0.889594184027778,0.110405815972222,0.271611829935318,0.38201764590754,0.268771701388889,0.379177517361111,34586723,220459500,214.536245187
