run,branch,epoch,step,group,bucket,count,mean_entropy,mean_margin,mean_ptrue
input,bigram,1,330,novel,f0,25401,5.966147671172252,0.08607571401352213,0.006007376865054069
input,bigram,1,330,novel,f1,0,0.0,0.0,0.0
input,bigram,1,330,novel,f16-63,0,0.0,0.0,0.0
input,bigram,1,330,novel,f2-3,0,0.0,0.0,0.0
input,bigram,1,330,novel,f256+,0,0.0,0.0,0.0
input,bigram,1,330,novel,f4-7,0,0.0,0.0,0.0
input,bigram,1,330,novel,f64-255,0,0.0,0.0,0.0
input,bigram,1,330,novel,f8-15,0,0.0,0.0,0.0
input,bigram,1,330,seen,f0,0,0.0,0.0,0.0
input,bigram,1,330,seen,f1,12905,5.973276492605741,0.08401879578719117,0.015239045793600563
input,bigram,1,330,seen,f16-63,74658,4.900503630463478,0.18782844861606768,0.1389642130645052
input,bigram,1,330,seen,f2-3,16563,5.816790256416467,0.10119137837186214,0.04170245566478947
input,bigram,1,330,seen,f256+,294237,4.689450997655614,0.17016769703871595,0.13456893834872088
input,bigram,1,330,seen,f4-7,20656,5.615097960584081,0.1273840075114556,0.07413812803845503
input,bigram,1,330,seen,f64-255,119379,4.592667125437388,0.20007536245504925,0.15466905205866607
input,bigram,1,330,seen,f8-15,26025,5.295402077581236,0.15965808095448042,0.10877997374531366
input,bigram,2,670,novel,f0,25401,4.037118542648288,0.2348611744950148,0.0065053965129588135
input,bigram,2,670,novel,f1,0,0.0,0.0,0.0
input,bigram,2,670,novel,f16-63,0,0.0,0.0,0.0
input,bigram,2,670,novel,f2-3,0,0.0,0.0,0.0
input,bigram,2,670,novel,f256+,0,0.0,0.0,0.0
input,bigram,2,670,novel,f4-7,0,0.0,0.0,0.0
input,bigram,2,670,novel,f64-255,0,0.0,0.0,0.0
input,bigram,2,670,novel,f8-15,0,0.0,0.0,0.0
input,bigram,2,670,seen,f0,0,0.0,0.0,0.0
input,bigram,2,670,seen,f1,12905,3.8844868255071274,0.26219989174658687,0.05552926917855052
input,bigram,2,670,seen,f16-63,74658,3.5438072305307884,0.2794440168623516,0.1741553771397829
input,bigram,2,670,seen,f2-3,16563,3.7588499218164344,0.2763795513666013,0.09260336866691739
input,bigram,2,670,seen,f256+,294237,3.8676464962683994,0.21623982722965054,0.15808592283872447
input,bigram,2,670,seen,f4-7,20656,3.7000888318855454,0.2802173475989903,0.12215177779950014
input,bigram,2,670,seen,f64-255,119379,3.5565283133959626,0.26311623915297194,0.18343501407209253
input,bigram,2,670,seen,f8-15,26025,3.582875147758608,0.28900142249732663,0.1516044855281876
input,bigram,3,1010,novel,f0,25401,2.835052876691778,0.3238221906327349,0.006320090412250994
input,bigram,3,1010,novel,f1,0,0.0,0.0,0.0
input,bigram,3,1010,novel,f16-63,0,0.0,0.0,0.0
input,bigram,3,1010,novel,f2-3,0,0.0,0.0,0.0
input,bigram,3,1010,novel,f256+,0,0.0,0.0,0.0
input,bigram,3,1010,novel,f4-7,0,0.0,0.0,0.0
input,bigram,3,1010,novel,f64-255,0,0.0,0.0,0.0
input,bigram,3,1010,novel,f8-15,0,0.0,0.0,0.0
input,bigram,3,1010,seen,f0,0,0.0,0.0,0.0
input,bigram,3,1010,seen,f1,12905,2.669150909351161,0.3594402202624064,0.06506724723936648
input,bigram,3,1010,seen,f16-63,74658,2.579498404935943,0.3720201884824425,0.1856812532267504
input,bigram,3,1010,seen,f2-3,16563,2.5185550782821196,0.38728018571079326,0.10575919460793956
input,bigram,3,1010,seen,f256+,294237,3.3030341508818326,0.26652063946883026,0.16708281894789143
input,bigram,3,1010,seen,f4-7,20656,2.462581448380808,0.3973047771939458,0.13658581161999517
input,bigram,3,1010,seen,f64-255,119379,2.8297965926505735,0.3320717147672687,0.1936074746253107
input,bigram,3,1010,seen,f8-15,26025,2.4329376863721577,0.4020175799037492,0.16475431044741032
input,bigram,4,1340,novel,f0,25401,2.330730869061464,0.3817890837524889,0.006056587895694842
input,bigram,4,1340,novel,f1,0,0.0,0.0,0.0
input,bigram,4,1340,novel,f16-63,0,0.0,0.0,0.0
input,bigram,4,1340,novel,f2-3,0,0.0,0.0,0.0
input,bigram,4,1340,novel,f256+,0,0.0,0.0,0.0
input,bigram,4,1340,novel,f4-7,0,0.0,0.0,0.0
