run,branch,quadrant,exemplar_id,hit_count,epoch,step,rank,top20_probs,top20_ids
input,bigram,high-F seen,401452,5405,1,330,,"[0.23559841513633728, 0.11128881573677063, 0.0384603850543499, 0.02191406674683094, 0.019339095801115036, 0.01706669293344021, 0.014148784801363945, 0.014148784801363945, 0.013291553594172001, 0.012486258521676064, 0.011729754507541656, 0.010351472534239292, 0.009724308736622334, 0.00942512322217226, 0.009135141968727112, 0.007340293377637863, 0.007114456035196781, 0.006278485059738159, 0.006085316650569439, 0.005898091476410627]","[32, 927, 1445, 570, 289, 51, 2193, 768, 262, 313, 50, 1930, 1341, 52, 2441, 351, 539, 49, 852, 53]"
input,bigram,high-F seen,401452,5405,5,1680,,"[0.19634868204593658, 0.09873031824827194, 0.08444852381944656, 0.07223264873027802, 0.051220618188381195, 0.03747380152344704, 0.03205304220318794, 0.029184626415371895, 0.011077235452830791, 0.011077235452830791, 0.010406099259853363, 0.00836153607815504, 0.008104278706014156, 0.008104278706014156, 0.006718682590872049, 0.006311618257313967, 0.005929216742515564, 0.005232515279203653, 0.005232515279203653, 0.005232515279203653]","[313, 396, 289, 333, 852, 262, 32, 442, 1957, 1180, 339, 927, 351, 957, 601, 287, 2401, 257, 509, 570]"
input,bigram,high-F seen,401452,5405,10,3370,,"[0.41682806611061096, 0.13532425463199615, 0.08737190812826157, 0.052993737161159515, 0.038771048188209534, 0.038771048188209534, 0.03214232996106148, 0.025032470002770424, 0.02351583167910576, 0.018314147368073463, 0.015182961709797382, 0.011108091101050377, 0.007634472567588091, 0.007171922829002142, 0.007171922829002142, 0.006737397983670235, 0.005945732817053795, 0.004929185379296541, 0.004630541894584894, 0.004086438566446304]","[852, 442, 396, 262, 287, 313, 2181, 3728, 1810, 32, 283, 333, 415, 927, 289, 429, 339, 4195, 6078, 6255]"
input,bigram,high-F seen,401452,5405,15,5050,,"[0.76035475730896, 0.11660418659448624, 0.08014079928398132, 0.02601790986955166, 0.0048128291964530945, 0.002273419639095664, 0.0014678300358355045, 0.0012168738758191466, 0.0010088238632306457, 0.0010088238632306457, 0.0007380712195299566, 0.000539984495844692, 0.0003711255849339068, 0.00027152124675922096, 0.00021146096696611494, 0.00017530728655401617, 0.00014533485227730125, 0.000136529459268786, 0.000136529459268786, 0.00012825755402445793]","[927, 313, 333, 4195, 852, 785, 396, 442, 768, 262, 570, 339, 760, 4196, 2348, 3962, 661, 1445, 1469, 48]"
input,bigram,high-F seen,401452,5405,20,6740,,"[0.5804146528244019, 0.21352265775203705, 0.07855058461427689, 0.06512071937322617, 0.02250511944293976, 0.012823030352592468, 0.008279170840978622, 0.004717329517006874, 0.003910803236067295, 0.0023720222525298595, 0.0009888060158118606, 0.0008726181695237756, 0.0005997411208227277, 0.0004121956299059093, 0.0003872219822369516, 0.0003637613554019481, 0.00034172218875028193, 0.00026613351656123996, 0.00018291072046849877, 0.00018291072046849877]","[927, 313, 333, 570, 396, 768, 32, 53, 1445, 1930, 48, 442, 262, 661, 2348, 327, 4195, 52, 1469, 257]"
nogram,bigram,high-F seen,401452,5405,20,6740,,"[0.18019798398017883, 0.11634456366300583, 0.09348548203706741, 0.06035876274108887, 0.038970544934272766, 0.025959981605410576, 0.020859429612755775, 0.018992725759744644, 0.018992725759744644, 0.014791551046073437, 0.013895376585423946, 0.01151967141777277, 0.009853297844529152, 0.009550143033266068, 0.00816867034882307, 0.007437658961862326, 0.00720882648602128, 0.006987033877521753, 0.006987033877521753, 0.006166035775095224]","[50, 32, 852, 262, 289, 927, 1714, 539, 53, 313, 339, 585, 351, 325, 49, 388, 257, 48, 2198, 540]"
input,bigram,low-F seen,12206669,1,1,330,,"[0.07743818312883377, 0.07274644076824188, 0.07050826400518417, 0.035453785210847855, 0.03436298295855522, 0.03436298295855522, 0.02289068140089512, 0.01897704228758812, 0.016747182235121727, 0.015248481184244156, 0.011875529773533344, 0.011510157957673073, 0.011156028136610985, 0.009248672053217888, 0.008161923848092556, 0.008161923848092556, 0.006766472477465868, 0.006558290217071772, 0.005522633902728558, 0.004950457252562046]","[46, 354, 44, 289, 286, 115, 121, 273, 351, 287, 360, 306, 283, 325, 346, 601, 334, 412, 313, 58]"
input,bigram,low-F seen,12206669,1,5,1680,,"[0.4375377595424652, 0.4110287129878998, 0.03373929113149643, 0.026276184245944023, 0.012411991134285927, 0.011659986339509487, 0.01095354463905096, 0.010289902798831463, 0.009666468016803265, 0.008530628867447376, 0.0048606060445308685, 0.0035560952965170145, 0.001903440454043448, 0.0013925868552178144, 0.0013082142686471343, 0.001018838258460164, 0.0008714586147107184, 0.0007934720488265157, 0.0007002366473898292, 0.0006179566844366491]","[601, 351, 44, 412, 1005, 346, 325, 287, 283, 938, 289, 121, 278, 429, 2003, 583, 2259, 509, 644, 354]"
input,bigram,low-F seen,12206669,1,10,3370,,"[0.9842682480812073, 0.008515588939189911, 0.0024397571105509996, 0.0015752256149426103, 0.0012267868733033538, 0.0011524595320224762, 0.0002737331378739327, 7.842585910111666e-05, 5.737758328905329e-05, 3.9434995414922014e-05, 3.480126542854123e-05, 2.7103253160021268e-05, 2.7103253160021268e-05, 2.2469384930445813e-05, 2.1108033251948655e-05, 1.749917646520771e-05, 1.4507324522128329e-05, 1.3628371561935637e-05, 1.3628371561935637e-05, 1.280266951653175e-05]","[601, 351, 44, 412, 418, 429, 287, 1005, 262, 2259, 583, 4012, 2771, 121, 1898, 2787, 815, 4558, 3320, 540]"
input,bigram,low-F seen,12206669,1,15,5050,,"[0.48725131154060364, 0.33488261699676514, 0.03529636561870575, 0.033157866448163986, 0.02425881288945675, 0.020111264660954475, 0.014713714830577374, 0.00739852013066411, 0.006133588962256908, 0.004215549677610397, 0.0037202092353254557, 0.0034948133397847414, 0.0030841620173305273, 0.0016508330591022968, 0.0016508330591022968, 0.0016508330591022968, 0.0014568549813702703, 0.0011345997918397188, 0.0010658579412847757, 0.0008836272172629833]","[418, 121, 286, 351, 601, 815, 112, 1005, 4510, 287, 262, 412, 44, 80, 3893, 870, 106, 104, 607, 957]"
