run_id,summary_path,steps,seed,final_train_loss,final_val_loss,final_gap,sha256
blrabs_input_lr0p00006_tlr0p0768_3k_fixed,/tmp/ngram_gap_remote_summaries/blrabs_input_lr0p00006_tlr0p0768_3k_fixed/summary.json,3000,42,1.956889271736145,6.021789789199829,4.064900517463684,97a7f3da94a9c0b7bffd1427011db18035a0042899e5d4f37638d7b660229b90
blrabs_nogram_lr0p00006_tlr0p0768_3k_fixed,/tmp/ngram_gap_remote_summaries/blrabs_nogram_lr0p00006_tlr0p0768_3k_fixed/summary.json,3000,42,3.7062110900878906,3.745879590511322,0.039668500423431396,9ca70aa4d76b0ea562feede8c7cc31fac0424f7fa825c610de40222196190f3a
blrabs_nogram_lr0p0001_tlr0p0768_3k_fixed,/tmp/ngram_gap_remote_summaries/blrabs_nogram_lr0p0001_tlr0p0768_3k_fixed/summary.json,3000,42,3.4173452854156494,3.512363016605377,0.09501773118972778,14b2897cd539ab577acce035bb2227e7c3651e1a39b90d3848ca6c86415e414d
blrv5_input_lr0p0040_fixed,/tmp/ngram_gap_remote_summaries/blrv5_input_lr0p0040_fixed/summary.json,1000,42,3.1102709770202637,5.405237913131714,2.29496693611145,2a105ec040ce7aaa309891c25b499786d87a1741822282bf996beddf1acd76d6
blrv5_nogram_lr0p0001_fixed,/tmp/ngram_gap_remote_summaries/blrv5_nogram_lr0p0001_fixed/summary.json,1000,42,4.65313196182251,4.688598990440369,0.03546702861785889,396340f3f2cc56742a63899f4bd3cfeb5dde8c023cf748cc67548db4131096e7
causalv5c_hash_reseed_e1e2_fixed,/tmp/ngram_gap_remote_summaries/causalv5c_hash_reseed_e1e2_fixed/summary.json,1000,42,4.304174900054932,4.372771978378296,0.06859707832336426,7ab948b2691368ca7a79a25faa9b8e3d531f73c7f612b0ad3148bb258bd9f70e
causalv5m2_mask_high_t100_e1_fixed,/tmp/ngram_gap_remote_summaries/causalv5m2_mask_high_t100_e1_fixed/summary.json,1000,42,3.5317556858062744,6.3174155950546265,2.785659909248352,27ca69ac8a6a50d09470fb8f355050c708f2f104b9d3f34e9f2ae359a6fc5dff
causalv5m2_mask_high_t10_e1_fixed,/tmp/ngram_gap_remote_summaries/causalv5m2_mask_high_t10_e1_fixed/summary.json,1000,42,4.265463352203369,6.556099772453308,2.290636420249939,ce6584a0f0e4034478b16b64ee3591ad49e693868fe3c3e6974c1220089bdcef
causalv5m2_mask_high_t12800_e1_fixed,/tmp/ngram_gap_remote_summaries/causalv5m2_mask_high_t12800_e1_fixed/summary.json,1000,42,2.568190813064575,5.290515184402466,2.7223243713378906,cbf36cc9d284f2b2e67b03705df75959a648972ee566efc76821e18b38523a2e
causalv5m2_mask_high_t1600_e1_fixed,/tmp/ngram_gap_remote_summaries/causalv5m2_mask_high_t1600_e1_fixed/summary.json,1000,42,2.701673746109009,5.461633086204529,2.75995934009552,4f590a5c30c8d4b4fee53f5b6a4a86890f6cc9310975722ded0c357f8d1d3e94
