multiplier,epoch,step,gap,run_id
0.125,1,42,0.01766383648,s1v5_128_ep20_tri_0p125xL4_3ep_v2_fixed
0.1667,1,56,0.02344369888,s1v5_128_ep20_tri_0p1667xL4_3ep_v2_fixed
0.25,1,84,-0.007847070694,s1v5_128_ep20_tri_0p25xL4_3ep_v2_fixed
0.3333,1,112,0.009084701538,s1v5_128_ep20_tri_0p3333xL4_3ep_v2_fixed
0.5,1,168,0.04529750347,s1v5_128_ep20_tri_0p5xL4_3ep_v2_fixed
0.6667,1,224,-0.01026046276,s1v5_128_ep20_tri_0p6667xL4_3ep_v2_fixed
0.75,1,253,-0.05206167698,s1v5_128_ep20_tri_0p75xL4_3ep_v2_fixed
1.0,1,337,0.03948092461,s1v5_128_ep20_tri_1p0xL4_3ep_v2_fixed
1.25,1,421,0.02085447311,s1v5_128_ep20_tri_1p25xL4_3ep_v2_fixed
1.5,1,506,0.01564633846,s1v5_128_ep20_tri_1p5xL4_3ep_v2_fixed
1.75,1,590,0.002640485764,s1v5_128_ep20_tri_1p75xL4_3ep_v2_fixed
2.0,1,674,0.0007601976395,s1v5_128_ep20_tri_2p0xL4_3ep_v2_fixed
2.5,1,842,0.01653635502,s1v5_128_ep20_tri_2p5xL4_3ep_v2_fixed
3.0,1,1011,0.009822249413,s1v5_128_ep20_tri_3p0xL4_3ep_v2_fixed
4.0,1,1348,-0.006803035736,s1v5_128_ep20_tri_4p0xL4_3ep_v2_fixed
6.0,1,2022,0.008438110352,s1v5_128_ep20_tri_6p0xL4_3ep_v2_fixed
8.0,1,2696,0.08194613457,s1v5_128_ep20_tri_8p0xL4_3ep_v2_fixed
10.0,1,3370,-0.07335400581,s1v5_128_ep20_tri_10p0xL4_3ep_v2_fixed
15.0,1,3210,0.0852009058,s1v5_128_ep20_tri_15p0xL4_3ep_v2_fixed
