multiplier,actual_multiplier,epoch_batches,epoch,step,seed,status,train_loss,val_loss,gap,run_id,host,source,source_sha256
0.125,0.12462908011869436,42,1,42,42,observed,7.020716667175293,7.03838050365448,0.01766383647918701,s1v5_128_ep20_tri_0p125xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p125xL4_3ep_v2_fixed/train_log.jsonl,4a26b014a1b26008489cf46586d547dedbd56fb120aedab7f5f1e162128fc51a
0.125,0.12462908011869436,42,2,84,42,observed,5.478962421417236,7.255915999412537,1.7769535779953003,s1v5_128_ep20_tri_0p125xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p125xL4_3ep_v2_fixed/train_log.jsonl,4a26b014a1b26008489cf46586d547dedbd56fb120aedab7f5f1e162128fc51a
0.125,0.12462908011869436,42,3,126,42,observed,4.692453861236572,7.667166113853455,2.9747122526168823,s1v5_128_ep20_tri_0p125xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p125xL4_3ep_v2_fixed/train_log.jsonl,4a26b014a1b26008489cf46586d547dedbd56fb120aedab7f5f1e162128fc51a
0.1667,0.1661721068249258,56,1,56,42,observed,6.894913196563721,6.918356895446777,0.02344369888305664,s1v5_128_ep20_tri_0p1667xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p1667xL4_3ep_v2_fixed/train_log.jsonl,82364b84461fad3e2f6df6cd712aa622dfbd4921eee3caa8567d3cb790467d8d
0.1667,0.1661721068249258,56,2,112,42,observed,5.316666603088379,7.1186360120773315,1.8019694089889526,s1v5_128_ep20_tri_0p1667xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p1667xL4_3ep_v2_fixed/train_log.jsonl,82364b84461fad3e2f6df6cd712aa622dfbd4921eee3caa8567d3cb790467d8d
0.1667,0.1661721068249258,56,3,168,42,observed,4.106201171875,7.731631398200989,3.6254302263259888,s1v5_128_ep20_tri_0p1667xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p1667xL4_3ep_v2_fixed/train_log.jsonl,82364b84461fad3e2f6df6cd712aa622dfbd4921eee3caa8567d3cb790467d8d
0.25,0.24925816023738873,84,1,84,42,observed,6.778393268585205,6.770546197891235,-0.007847070693969727,s1v5_128_ep20_tri_0p25xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p25xL4_3ep_v2_fixed/train_log.jsonl,8a330e45f104f718264a98bb96fef4db575d87cbae7edc274d57ff8bf5452d72
0.25,0.24925816023738873,84,2,168,42,observed,5.302548408508301,6.988963842391968,1.686415433883667,s1v5_128_ep20_tri_0p25xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p25xL4_3ep_v2_fixed/train_log.jsonl,8a330e45f104f718264a98bb96fef4db575d87cbae7edc274d57ff8bf5452d72
0.25,0.24925816023738873,84,3,252,42,observed,4.133620738983154,7.593010663986206,3.4593899250030518,s1v5_128_ep20_tri_0p25xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p25xL4_3ep_v2_fixed/train_log.jsonl,8a330e45f104f718264a98bb96fef4db575d87cbae7edc274d57ff8bf5452d72
0.3333,0.3323442136498516,112,1,112,42,observed,6.661591529846191,6.670676231384277,0.009084701538085938,s1v5_128_ep20_tri_0p3333xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p3333xL4_3ep_v2_fixed/train_log.jsonl,c2760b1795bf0b3b4344fccb5fd3fc133250a5db68b319586ce3292fd4941e9a
0.3333,0.3323442136498516,112,2,224,42,observed,5.243554592132568,6.902571797370911,1.6590172052383423,s1v5_128_ep20_tri_0p3333xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p3333xL4_3ep_v2_fixed/train_log.jsonl,c2760b1795bf0b3b4344fccb5fd3fc133250a5db68b319586ce3292fd4941e9a
0.3333,0.3323442136498516,112,3,336,42,observed,4.189204216003418,7.478581786155701,3.2893775701522827,s1v5_128_ep20_tri_0p3333xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p3333xL4_3ep_v2_fixed/train_log.jsonl,c2760b1795bf0b3b4344fccb5fd3fc133250a5db68b319586ce3292fd4941e9a
0.5,0.49851632047477745,168,1,168,42,observed,6.4678168296813965,6.513114333152771,0.04529750347137451,s1v5_128_ep20_tri_0p5xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p5xL4_3ep_v2_fixed/train_log.jsonl,85bc4f4e0ae8d1fd0d3e64dc15e8c28375b2b99d8c14e921262bcd10221ea248
0.5,0.49851632047477745,168,2,336,42,observed,5.209229469299316,6.672701358795166,1.4634718894958496,s1v5_128_ep20_tri_0p5xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p5xL4_3ep_v2_fixed/train_log.jsonl,85bc4f4e0ae8d1fd0d3e64dc15e8c28375b2b99d8c14e921262bcd10221ea248
0.5,0.49851632047477745,168,3,504,42,observed,4.160982608795166,7.236068964004517,3.0750863552093506,s1v5_128_ep20_tri_0p5xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p5xL4_3ep_v2_fixed/train_log.jsonl,85bc4f4e0ae8d1fd0d3e64dc15e8c28375b2b99d8c14e921262bcd10221ea248
0.6667,0.6646884272997032,224,1,224,42,observed,6.41707706451416,6.406816601753235,-0.010260462760925293,s1v5_128_ep20_tri_0p6667xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p6667xL4_3ep_v2_fixed/train_log.jsonl,593769b9f881cf8587db6314caeb8b84ca9d8e8e82c6eee814e034481f8a5376
0.6667,0.6646884272997032,224,2,448,42,observed,5.306262016296387,6.509634256362915,1.2033722400665283,s1v5_128_ep20_tri_0p6667xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p6667xL4_3ep_v2_fixed/train_log.jsonl,593769b9f881cf8587db6314caeb8b84ca9d8e8e82c6eee814e034481f8a5376
0.6667,0.6646884272997032,224,3,672,42,observed,4.23069429397583,7.04200804233551,2.81131374835968,s1v5_128_ep20_tri_0p6667xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p6667xL4_3ep_v2_fixed/train_log.jsonl,593769b9f881cf8587db6314caeb8b84ca9d8e8e82c6eee814e034481f8a5376
0.75,0.7507418397626113,253,1,253,42,observed,6.3927106857299805,6.3406490087509155,-0.05206167697906494,s1v5_128_ep20_tri_0p75xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p75xL4_3ep_v2_fixed/train_log.jsonl,e350532a73dd0af4f8a69896a2a7a2da944c83a8a4dab47bf2e85b8cdbe94068
0.75,0.7507418397626113,253,2,506,42,observed,5.237800598144531,6.445517897605896,1.2077172994613647,s1v5_128_ep20_tri_0p75xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p75xL4_3ep_v2_fixed/train_log.jsonl,e350532a73dd0af4f8a69896a2a7a2da944c83a8a4dab47bf2e85b8cdbe94068
0.75,0.7507418397626113,253,3,759,42,observed,4.178362846374512,6.93158757686615,2.753224730491638,s1v5_128_ep20_tri_0p75xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_0p75xL4_3ep_v2_fixed/train_log.jsonl,e350532a73dd0af4f8a69896a2a7a2da944c83a8a4dab47bf2e85b8cdbe94068
