pass,f_bin,n_seen,n_novel,seen_total,seen_table_direct,seen_backbone,novel_total,novel_table_direct,novel_backbone,margin_novel
1,0,0,25401,nan,nan,nan,3.0785191466379276,-0.11921482544978544,3.197733972087713,nan
1,1,2827,10078,2.2852983127266095,-2.86067696818624,5.145975280912849,2.2653326514127308,-0.4075707528155388,2.6729034042282693,1.5727639838943739
1,2,2597,6542,1.1307846380739797,-3.5420507549275606,4.67283539300154,1.9423534051608835,-0.6384084031546163,2.5807618083154997,2.2344785601091983
1,3,2490,4934,0.6718609790725402,-3.8612373321410645,4.533098311213604,1.7413935234153324,-0.733089872251216,2.4744833956665486,2.516029014633791
1,4,2289,3895,0.31431228284390017,-4.133692003535932,4.448004286379833,1.5892886513157896,-0.7869139371389602,2.3762025884547495,2.6540529224165597
1,5,2054,3389,0.20864371919121227,-4.13161758972584,4.340261308917052,1.3893981735486132,-0.94976120467874,2.339159378227353,2.797923601633963
1,6,1852,2840,0.007992903048224892,-4.205767703622772,4.213760606670998,1.3508316254951585,-0.937071894256162,2.2879035197513202,2.7215130013479314
1,7,1803,2534,-0.09931188362278147,-4.346262901674293,4.2469510180515115,1.260242055698747,-1.0657611175513022,2.3260031732500495,2.868717618127836
1,8,1757,2272,-0.36487163789040267,-4.457846279502526,4.092974641612123,1.1299053783148107,-1.109493524255887,2.2393989025706977,2.9740348601005446
1,9-12,6332,7280,-0.3628205174670819,-4.384834082308858,4.022013564841776,1.0040830172025241,-1.2897813734117445,2.2938643906142686,3.0947503226143973
1,13-18,8005,8005,-0.534130638260755,-4.46007672511809,3.9259460868573353,0.8328657961576749,-1.4077194642752577,2.2405852604329324,3.3565626097946595
1,19-26,9073,7700,-0.7281577825992988,-4.446606858357645,3.7184490757583455,0.5878073318283279,-1.5903159877232143,2.1781233195515424,3.561181783304586
1,27-38,11464,8305,-0.8717293376616473,-4.461645564247658,3.589916226586011,0.45400299494844976,-1.6079585213750187,2.0619615163234686,3.8224920944590512
1,39-54,12596,8258,-0.9526510689893803,-4.432443184487666,3.479792115498286,0.30796221573493127,-1.7093984280986052,2.0173606438335363,3.931701907755879
1,55-78,15730,9092,-1.0366985401073536,-4.431111786218486,3.3944132461111334,0.23055821161568033,-1.7245916122389533,1.9551498238546334,4.220039015240046
1,79-110,17453,8656,-1.0718755217696276,-4.355344817473513,3.283469295703886,0.17954407513912857,-1.7488224149411356,1.928366490080264,4.436892613465597
1,111-156,20932,9298,-1.0931205654745686,-4.2849332093964705,3.1918126439219017,0.12118138875159225,-1.7864520392332777,1.90763342798487,4.562747212732241
1,157-220,23667,8967,-1.163833358338483,-4.290761683857294,3.1269283255188114,0.05898999269157266,-1.7621453171312391,1.8211353098228116,4.803308563725904
1,221-312,27585,8909,-1.1425412831972837,-4.231938591508172,3.0893973083108883,-0.0022007137961842045,-1.719419748484185,1.717219034688001,4.88327655242019
1,313-440,29778,8207,-1.1795083416886194,-4.187110348748299,3.00760200705968,-0.031943216994341245,-1.700427702723285,1.6684844857289438,5.0192634436801535
1,441-624,32639,7929,-1.1538080447860901,-4.105438404345637,2.9516303595595472,-0.010577295779400087,-1.6473823862007249,1.6368050904213247,5.275351293000707
1,625-880,34876,7409,-1.1669594226237325,-4.079220679911305,2.9122612572875726,-0.09853644936749899,-1.633865041922004,1.535328592554505,5.434778418227525
1,881-1244,20642,4061,-0.8618997533493182,-3.8234116503282682,2.96151189697895,0.01667124119570501,-1.7116015784642404,1.7282728196599453,5.640976151877569
1,1245-2048,21097,3667,-0.6421417569037144,-3.598877989940549,2.9567362330368345,0.10150497272419676,-1.7164576311088044,1.8179626038330012,5.767945492222096
1,2049+,96022,6636,-0.49109247069467094,-3.7085150551736508,3.21742258447898,0.12352304324965796,-1.5469691517340123,1.6704921949836704,6.043492557028462
6,0,0,25401,nan,nan,nan,10.811844037267234,2.368151106255659,8.443692931011574,nan
6,1,2827,10078,3.451892767772263,-7.382554196282499,10.834446964054763,9.621986299830075,1.8626713587145267,7.759314941115549,6.972688808543362
6,2,2597,6542,2.8130777775438007,-7.671138065706825,10.484215843250626,9.02292376722046,1.5096772537068175,7.513246513513643,6.550352977634898
6,3,2490,4934,2.5880901535830825,-7.64642152594754,10.234511679530623,8.68962442918398,1.368638488992197,7.320985940191782,6.4085174300770165
6,4,2289,3895,2.688412194274929,-7.291767138693206,9.980179332968136,8.521585541359114,1.067436467025032,7.454149074334082,6.256479912146983
6,5,2054,3389,2.358083009951999,-7.287073597819803,9.645156607771803,8.372937519594645,1.1370996929403954,7.235837826654249,6.410617588613898
6,6,1852,2840,2.2289782332550114,-7.389730762456972,9.618708995711984,8.178390975737235,0.9930433676276409,7.185347608109595,6.23463994415713
6,7,1803,2534,2.2917027528988143,-7.437629788568532,9.729332541467347,8.015730113426155,0.6285468796246053,7.387183233801549,6.164120307567088
6,8,1757,2272,2.1562286359583984,-7.292055897503735,9.448284533462134,8.026536538567342,0.6762228952327245,7.3503136433346175,6.263561732332471
6,9-12,6332,7280,2.106540412444972,-7.097618252434311,9.204158664879284,7.631007334950206,0.37187117691878435,7.2591361580314215,6.359849430964544
6,13-18,8005,8005,2.130714385052311,-6.958867672426413,9.089582057478724,7.361705101913843,-0.022221249658416615,7.38392635157226,6.269916827495511
6,19-26,9073,7700,2.059259452302677,-6.786810293989119,8.846069746291796,6.9545365212180394,-0.230640916700487,7.185177437918527,6.253153440797484
6,27-38,11464,8305,1.9580714830716672,-6.754840534047821,8.712912017119487,6.76848323116957,-0.3355289723340608,7.104012203503631,6.267489758146448
